Intuition_Encoded,Age,Income,Employment_Status,High_Expectation,Industry_Experience,Highest_Degree_Ordinal,Hours_Learning_Weekly,Months_Programming,Money_Spent,Count_Learning_Methods,Count_Online_Resources,In-person Events,Listen_Podcasts,Youtube_Channels,Months_Finding_New_Job,Laid_Off_Potential,Replacable_Job_Potential,Study_Field_Computer-related,Study_Field_Not applicable,Study_Field_Other Science & Engineering,Study_Field_Others,Field_Working_Education,Field_Working_Others,Field_Working_Self-employed,Field_Working_Software development and IT,Field_Working_unemployed,Job_Status_Expecation(Objective2),Job_Status_Income(Objective1)
3.0,30.0,2.0,1.0,1.0,0.0,6.0,8.0,15.0,1200.0,3.0,3.0,0.0,0.0,2.0,18.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
1.0,26.0,2.0,1.0,1.0,0.0,4.0,2.0,1.0,0.0,3.0,5.0,0.0,0.0,1.0,1.0,1.0,8.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0
3.0,23.0,2.0,1.0,1.0,0.0,6.0,8.0,36.0,100.0,2.0,3.0,0.0,0.0,1.0,1.0,2.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
3.0,33.0,2.0,1.0,1.0,0.0,4.0,6.0,3.0,0.0,3.0,4.0,0.0,0.0,1.0,3.0,1.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
3.0,25.0,2.0,1.0,1.0,0.0,6.0,7.0,2.0,0.0,2.0,5.0,0.0,0.0,1.0,3.0,5.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
3.0,38.0,2.0,1.0,0.0,1.0,4.0,1.0,150.0,100.0,1.0,4.0,1.0,0.0,5.0,0.0,1.0,8.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0
3.0,34.0,2.0,1.0,1.0,0.0,4.0,6.0,24.0,500.0,5.0,5.0,1.0,1.0,7.0,6.0,4.0,9.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
3.0,44.0,2.0,1.0,0.0,0.0,4.0,10.0,2.0,0.0,1.0,4.0,0.0,0.0,1.0,6.0,8.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0
3.0,44.0,2.0,1.0,1.0,0.0,3.0,60.0,3.0,15.0,2.0,8.0,0.0,0.0,4.0,24.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
3.0,29.0,2.0,1.0,1.0,0.0,3.0,30.0,12.0,50.0,5.0,8.0,0.0,1.0,5.0,0.0,7.0,10.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0
3.0,30.0,2.0,1.0,1.0,1.0,4.0,4.0,120.0,0.0,3.0,7.0,0.0,0.0,1.0,24.0,5.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
3.0,32.0,2.0,1.0,0.0,1.0,4.0,10.0,180.0,0.0,4.0,5.0,0.0,1.0,2.0,24.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0
3.0,36.0,2.0,1.0,1.0,1.0,3.0,25.0,16.0,8000.0,4.0,9.0,1.0,1.0,5.0,2.0,1.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
3.0,49.0,2.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,2.0,7.0,0.0,0.0,7.0,2.0,1.0,9.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
3.0,33.0,2.0,1.0,1.0,1.0,1.0,4.0,24.0,200.0,1.0,9.0,0.0,1.0,0.0,3.0,10.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
3.0,0.0,2.0,1.0,0.0,0.0,0.0,15.0,24.0,300.0,1.0,6.0,0.0,0.0,2.0,0.0,7.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0
3.0,29.0,2.0,1.0,1.0,1.0,3.0,15.0,12.0,200.0,4.0,7.0,0.0,0.0,8.0,2.0,1.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
3.0,35.0,2.0,1.0,1.0,0.0,4.0,7.0,6.0,172.0,2.0,4.0,0.0,0.0,1.0,6.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
3.0,46.0,2.0,1.0,1.0,0.0,6.0,10.0,24.0,500.0,3.0,5.0,1.0,1.0,2.0,3.0,7.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
3.0,39.0,2.0,1.0,1.0,0.0,4.0,20.0,12.0,600.0,1.0,3.0,0.0,1.0,1.0,12.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0
3.0,27.0,2.0,1.0,1.0,0.0,3.0,4.0,6.0,0.0,2.0,4.0,0.0,0.0,2.0,2.0,1.0,8.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
3.0,27.0,2.0,1.0,0.0,0.0,4.0,7.0,2.0,0.0,2.0,4.0,0.0,1.0,1.0,3.0,1.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0
3.0,28.0,2.0,1.0,1.0,0.0,4.0,5.0,1.0,50.0,2.0,3.0,0.0,0.0,1.0,6.0,1.0,8.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0
3.0,25.0,2.0,1.0,1.0,1.0,3.0,5.0,0.0,2000.0,2.0,5.0,1.0,1.0,3.0,2.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
3.0,35.0,2.0,1.0,1.0,1.0,4.0,20.0,60.0,200.0,3.0,7.0,0.0,0.0,9.0,12.0,10.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
3.0,39.0,2.0,1.0,1.0,0.0,4.0,20.0,7.0,5000.0,3.0,9.0,0.0,1.0,10.0,0.0,3.0,7.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
3.0,32.0,2.0,1.0,1.0,0.0,4.0,10.0,12.0,50.0,2.0,3.0,0.0,0.0,3.0,1.0,5.0,8.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0
3.0,37.0,2.0,1.0,1.0,1.0,6.0,8.0,36.0,200.0,3.0,5.0,1.0,1.0,2.0,24.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
3.0,55.0,2.0,1.0,1.0,0.0,5.0,10.0,8.0,70.0,3.0,3.0,1.0,0.0,8.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
3.0,35.0,2.0,1.0,0.0,1.0,3.0,5.0,50.0,0.0,4.0,8.0,0.0,1.0,3.0,1.0,3.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0
3.0,28.0,2.0,1.0,1.0,0.0,4.0,10.0,2.0,0.0,1.0,2.0,0.0,0.0,1.0,3.0,3.0,10.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
3.0,37.0,2.0,1.0,1.0,0.0,4.0,10.0,28.0,0.0,2.0,8.0,0.0,0.0,5.0,1.0,9.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
3.0,20.0,2.0,1.0,1.0,1.0,6.0,1.0,36.0,1000.0,2.0,16.0,0.0,1.0,3.0,4.0,7.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
3.0,31.0,2.0,1.0,1.0,1.0,4.0,4.0,36.0,200.0,1.0,5.0,0.0,0.0,2.0,2.0,2.0,7.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
3.0,27.0,2.0,1.0,1.0,1.0,4.0,7.0,55.0,200.0,2.0,9.0,1.0,1.0,1.0,0.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
3.0,26.0,2.0,1.0,1.0,0.0,3.0,20.0,36.0,0.0,1.0,4.0,0.0,0.0,1.0,3.0,2.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
3.0,28.0,2.0,1.0,1.0,0.0,4.0,6.0,38.0,0.0,1.0,3.0,0.0,0.0,1.0,9.0,2.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0
3.0,29.0,2.0,1.0,1.0,0.0,2.0,20.0,7.0,50.0,4.0,9.0,1.0,1.0,6.0,1.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0
3.0,34.0,2.0,1.0,1.0,0.0,4.0,10.0,2.0,0.0,1.0,4.0,0.0,0.0,4.0,4.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
3.0,42.0,2.0,1.0,0.0,1.0,5.0,4.0,300.0,0.0,4.0,6.0,1.0,1.0,1.0,0.0,1.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0
3.0,56.0,2.0,1.0,1.0,0.0,1.0,15.0,30.0,11000.0,3.0,4.0,0.0,1.0,4.0,5.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
3.0,41.0,2.0,1.0,0.0,1.0,2.0,8.0,120.0,200.0,2.0,5.0,1.0,0.0,3.0,2.0,2.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0
3.0,63.0,2.0,1.0,0.0,0.0,6.0,8.0,0.0,0.0,1.0,3.0,0.0,0.0,6.0,24.0,1.0,7.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
3.0,45.0,2.0,1.0,1.0,0.0,6.0,30.0,12.0,100.0,4.0,4.0,0.0,1.0,1.0,0.0,8.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
3.0,38.0,2.0,1.0,1.0,1.0,6.0,5.0,99.0,200.0,5.0,5.0,1.0,1.0,5.0,1.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
3.0,32.0,2.0,1.0,1.0,0.0,6.0,5.0,1.0,0.0,1.0,4.0,0.0,0.0,1.0,6.0,5.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
1.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,16.0,500.0,2.0,3.0,0.0,0.0,3.0,24.0,1.0,9.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
3.0,39.0,2.0,1.0,1.0,1.0,4.0,1.0,48.0,500.0,4.0,7.0,1.0,1.0,1.0,6.0,2.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
3.0,35.0,2.0,1.0,1.0,1.0,4.0,5.0,0.0,50.0,4.0,8.0,0.0,1.0,13.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
3.0,35.0,2.0,1.0,1.0,0.0,6.0,20.0,24.0,1200.0,3.0,8.0,0.0,0.0,1.0,0.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
1.0,27.0,2.0,1.0,1.0,1.0,4.0,10.0,60.0,350.0,2.0,4.0,0.0,1.0,4.0,24.0,2.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
3.0,31.0,2.0,1.0,1.0,0.0,4.0,2.0,9.0,20.0,1.0,3.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
3.0,39.0,2.0,1.0,1.0,0.0,5.0,15.0,27.0,10.0,3.0,3.0,1.0,0.0,5.0,2.0,7.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
3.0,27.0,2.0,1.0,1.0,1.0,4.0,4.0,72.0,100.0,2.0,7.0,0.0,1.0,5.0,1.0,3.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
1.0,20.0,2.0,1.0,1.0,1.0,6.0,28.0,80.0,0.0,1.0,3.0,0.0,0.0,6.0,1.0,1.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
3.0,32.0,2.0,1.0,1.0,1.0,4.0,4.0,47.0,100.0,5.0,4.0,1.0,1.0,0.0,1.0,1.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
3.0,36.0,2.0,1.0,1.0,0.0,6.0,7.0,12.0,100.0,1.0,6.0,0.0,0.0,8.0,0.0,1.0,6.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
3.0,29.0,2.0,1.0,1.0,1.0,4.0,7.0,105.0,1600.0,3.0,5.0,0.0,0.0,3.0,1.0,4.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
3.0,32.0,2.0,1.0,1.0,1.0,6.0,20.0,36.0,100.0,4.0,5.0,0.0,0.0,5.0,1.0,3.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
3.0,26.0,2.0,1.0,1.0,1.0,3.0,2.0,36.0,500.0,1.0,5.0,0.0,0.0,1.0,24.0,1.0,8.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0
3.0,34.0,2.0,1.0,1.0,1.0,4.0,15.0,17.0,5000.0,3.0,4.0,0.0,0.0,3.0,9.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
3.0,38.0,2.0,1.0,1.0,0.0,4.0,4.0,0.0,500.0,2.0,3.0,0.0,0.0,2.0,3.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0
3.0,33.0,2.0,1.0,0.0,1.0,6.0,20.0,0.0,0.0,3.0,7.0,0.0,0.0,4.0,0.0,10.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0
3.0,26.0,2.0,1.0,1.0,0.0,4.0,4.0,18.0,200.0,2.0,4.0,0.0,0.0,1.0,4.0,2.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
3.0,24.0,2.0,1.0,1.0,1.0,6.0,2.0,28.0,0.0,1.0,6.0,0.0,1.0,1.0,3.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
3.0,38.0,2.0,1.0,1.0,0.0,3.0,20.0,2.0,50.0,2.0,4.0,0.0,0.0,2.0,1.0,5.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
3.0,35.0,2.0,1.0,1.0,1.0,4.0,6.0,24.0,21000.0,3.0,3.0,1.0,0.0,2.0,1.0,5.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
3.0,35.0,2.0,1.0,0.0,0.0,4.0,10.0,36.0,500.0,4.0,6.0,1.0,1.0,3.0,1.0,4.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0
3.0,28.0,2.0,1.0,1.0,1.0,4.0,4.0,39.0,0.0,4.0,6.0,1.0,1.0,1.0,1.0,2.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
3.0,32.0,2.0,1.0,1.0,1.0,2.0,1.0,26.0,0.0,5.0,6.0,1.0,0.0,1.0,0.0,3.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
3.0,30.0,2.0,1.0,1.0,0.0,2.0,5.0,72.0,300.0,4.0,6.0,1.0,0.0,1.0,2.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
3.0,27.0,2.0,1.0,1.0,0.0,4.0,5.0,36.0,40.0,2.0,6.0,0.0,0.0,2.0,14.0,3.0,7.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0
3.0,21.0,2.0,1.0,1.0,1.0,6.0,4.0,48.0,200.0,2.0,4.0,0.0,1.0,5.0,6.0,1.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
3.0,39.0,2.0,1.0,1.0,1.0,4.0,2.0,24.0,300.0,3.0,6.0,1.0,1.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
3.0,33.0,2.0,1.0,1.0,0.0,3.0,6.0,3.0,100.0,1.0,3.0,0.0,0.0,3.0,2.0,2.0,7.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
3.0,45.0,2.0,1.0,1.0,0.0,4.0,16.0,24.0,0.0,2.0,4.0,0.0,1.0,1.0,2.0,6.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0
3.0,32.0,2.0,1.0,1.0,0.0,6.0,6.0,24.0,150.0,1.0,5.0,0.0,1.0,2.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
3.0,32.0,2.0,1.0,1.0,0.0,4.0,5.0,15.0,2200.0,2.0,6.0,0.0,1.0,1.0,2.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0
3.0,0.0,2.0,1.0,1.0,0.0,5.0,3.0,35.0,0.0,3.0,6.0,0.0,0.0,1.0,24.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
3.0,30.0,2.0,1.0,1.0,1.0,3.0,8.0,60.0,0.0,5.0,5.0,0.0,0.0,8.0,3.0,3.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
3.0,35.0,2.0,1.0,1.0,0.0,4.0,12.0,12.0,2000.0,3.0,5.0,0.0,1.0,3.0,12.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
